trial_name,trial_id,controller_name,time,step_count,absolute_mechanical_work,active_contact_count,base_acceleration_magnitude,completion_time,forward_progress,grasp_full_wrench_rank,grasp_isotropy,lateral_drift_abs,maximum_friction_ratio,maximum_joint_limit_utilisation,maximum_leg_effort_utilisation,minimum_grasp_singular_value,normal_drift_abs,normalised_load_share_entropy,rung_advancement,slipping_contact_count,successful_regrasp_count,task_success
gait_trial_1,1,gait,0.0020000000,1,0.0000000000,0,0.0000000000,,0.0000000000,False,0.0000000000,0.0000000000,0.0000000000,1.8844170768,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.0040000000,2,1.3615211775,0,367.0579349483,,0.0011870481,False,0.0000000000,0.0000167412,0.0000000000,1.8756811030,1.0000000000,0.0000000000,0.0008665985,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.0060000000,3,3.9782649368,0,294.3914772186,,0.0033432562,False,0.0000000000,0.0000716679,0.0000000000,1.8628541375,1.0000000000,0.0000000000,0.0024024900,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.0080000000,4,7.7575407884,0,215.8255275177,,0.0062042002,False,0.0000000000,0.0001316270,0.0000000000,1.8465434490,1.0000000000,0.0000000000,0.0044378828,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.0100000000,5,12.5238427825,0,181.8585989885,,0.0096990574,False,0.0000000000,0.0001983349,0.0000000000,1.8267951065,1.0000000000,0.0000000000,0.0068305629,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.0120000000,6,18.5337522476,0,227.0222882004,,0.0135212297,False,0.0000000000,0.0005351956,0.0000000000,1.8050501788,1.0000000000,0.0000000000,0.0094268066,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.0140000000,7,25.5604536403,0,192.7916995046,,0.0176287107,False,0.0000000000,0.0019574605,0.0000000000,1.7813768232,1.0000000000,0.0000000000,0.0121202300,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.0160000000,8,33.4172991903,0,168.1472809244,,0.0219826423,False,0.0000000000,0.0039841816,0.0000000000,1.7562135104,1.0000000000,0.0000000000,0.0148142341,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.0180000000,9,42.1038315036,0,148.0729085684,,0.0265434526,False,0.0000000000,0.0065377237,0.0000000000,1.7298571221,1.0000000000,0.0000000000,0.0174202372,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.0200000000,10,51.4860847689,0,132.9415601513,,0.0312798110,False,0.0000000000,0.0095446245,0.0000000000,1.7026697481,1.0000000000,0.0000000000,0.0198649169,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.0220000000,11,61.5165537278,0,215.4884398383,,0.0362521220,False,0.0000000000,0.0133207407,0.0000000000,1.6751734032,1.0000000000,0.0000000000,0.0221108402,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.0240000000,12,72.1476334020,0,203.8995864874,,0.0413814257,False,0.0000000000,0.0178166254,0.0000000000,1.6473582154,1.0000000000,0.0000000000,0.0240137448,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.0260000000,13,83.0635920392,0,131.5049377783,,0.0465934678,False,0.0000000000,0.0226766576,0.0000000000,1.6193439525,1.0000000000,0.0000000000,0.0255528339,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.0280000000,14,94.0654091355,0,123.8967128524,,0.0518493427,False,0.0000000000,0.0278335304,0.0000000000,1.5913626368,1.0000000000,0.0000000000,0.0266969178,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.0300000000,15,105.0727017808,0,141.8758361765,,0.0571213384,False,0.0000000000,0.0333541552,0.0000000000,1.5629795388,1.0000000000,0.0000000000,0.0273998253,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.0320000000,16,115.7730171786,0,84.9744206295,,0.0623466727,False,0.0000000000,0.0386582830,0.0000000000,1.5340495294,1.0000000000,0.0000000000,0.0278617945,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.0340000000,17,126.1670287155,0,74.7161511315,,0.0675222932,False,0.0000000000,0.0437682907,0.0000000000,1.5044770060,1.0000000000,0.0000000000,0.0281187382,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.0360000000,18,136.2731280200,0,65.4750048698,,0.0726463630,False,0.0000000000,0.0487037393,0.0000000000,1.4742080589,1.0000000000,0.0000000000,0.0282040218,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.0380000000,19,146.0080205973,0,57.3768171231,,0.0777183924,False,0.0000000000,0.0534811087,0.0000000000,1.4433386288,1.0000000000,0.0000000000,0.0281479223,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.0400000000,20,155.4232681620,0,50.1575399084,,0.0827360035,False,0.0000000000,0.0581160096,0.0000000000,1.4119772180,1.0000000000,0.0000000000,0.0279797264,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.0420000000,21,164.5606270311,0,43.6756518005,,0.0876972458,False,0.0000000000,0.0626217941,0.0000000000,1.3800243911,1.0000000000,0.0000000000,0.0277283271,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.0440000000,22,173.4596223214,0,25.1502351834,,0.0926127907,False,0.0000000000,0.0670557753,0.0000000000,1.3457893010,1.0000000000,0.0000000000,0.0274750042,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.0460000000,23,182.0944482697,0,17.0897513862,,0.0974870473,False,0.0000000000,0.0714622033,0.0000000000,1.3100107895,1.0000000000,0.0000000000,0.0272707494,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.0480000000,24,190.3600031722,0,16.4348935200,,0.1023169602,False,0.0000000000,0.0758458033,0.0000000000,1.2730046565,1.0000000000,0.0000000000,0.0271122895,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.0500000000,25,198.2310154671,0,17.7119264474,,0.1070987311,False,0.0000000000,0.0802129723,0.0000000000,1.2351482521,1.0000000000,0.0000000000,0.0270081710,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.0520000000,26,205.7255035423,0,17.8605267796,,0.1118320230,False,0.0000000000,0.0845670088,0.0000000000,1.1964639586,1.0000000000,0.0000000000,0.0269603190,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.0540000000,27,212.7700775425,0,18.1774238484,,0.1165177435,False,0.0000000000,0.0889138453,0.0000000000,1.1571357658,1.0000000000,0.0000000000,0.0269730152,0.0000000000,0,0,0,False
